"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"75",75,2009-10-21,2010-03-17,"Unknown",1,NA,0.402464065708419,1,0,2009-11-04,2009-11-04
"76",76,2016-12-01,2017-04-27,"Unknown",0,NA,0.402464065708419,1,0,NA,NA
"77",77,1992-10-01,1993-02-26,"Unknown",1,NA,0.405201916495551,1,0,1992-10-31,1992-10-31
"78",78,2015-11-01,2016-03-30,"Unknown",0,NA,0.410677618069815,1,0,NA,NA
"79",79,2009-10-15,2010-03-17,"Unknown",1,NA,0.418891170431211,1,0,2009-11-04,2009-11-04
"80",80,2018-12-01,2019-05-04,"Unknown",0,NA,0.421629021218344,1,0,NA,NA
"81",81,2007-08-31,2008-02-01,"Unknown",0,NA,0.421629021218344,1,0,NA,NA
"82",82,1986-11-01,1987-04-05,"Male",1,NA,0.424366872005476,1,0,1987-04-03,1987-04-03
"83",83,2005-01-01,2005-06-09,"Unknown",2,0.0246406570841889,0.435318275154004,1,0,2005-05-13,2005-05-22
"84",84,2015-11-07,2016-04-14,"Unknown",0,NA,0.435318275154004,1,0,NA,NA
"85",85,2002-04-24,2002-10-02,"Unknown",5,0.123203285420945,0.440793976728268,1,0,2002-05-24,2002-08-29
"86",86,2018-10-27,2019-04-07,"Female",0,NA,0.4435318275154,1,0,NA,NA
"87",87,2011-10-21,2012-04-02,"Unknown",1,NA,0.449007529089665,1,0,2011-11-04,2011-11-04
"88",88,2005-01-01,2005-06-15,"Unknown",5,0.0465434633812457,0.451745379876797,1,0,2005-04-19,2005-05-28
"89",89,2016-10-19,2017-04-03,"Unknown",1,NA,0.454483230663929,1,0,2016-10-22,2016-10-22
"90",90,2012-08-23,2013-02-06,"Unknown",2,0.054757015742642,0.457221081451061,1,0,2012-09-11,2012-10-01
"91",91,1999-11-15,2000-05-01,"Unknown",0,NA,0.459958932238193,1,0,NA,NA
"92",92,2006-12-25,2007-06-18,"Male",8,0.0301163586584531,0.479123887748118,1,0,2007-05-17,2007-06-14
"93",93,1990-10-01,1991-03-26,"Unknown",5,0.197125256673511,0.48186173853525,1,0,1990-11-11,1991-02-22
"94",94,2015-10-03,2016-03-31,"Unknown",8,0.0164271047227926,0.492813141683778,1,0,2015-10-04,2015-10-27
"95",95,2004-10-10,2005-04-08,"Unknown",2,0.416153319644079,0.492813141683778,1,0,2004-10-27,2005-03-28
"96",96,1988-11-01,1989-05-01,"Unknown",0,NA,0.49555099247091,1,0,NA,NA
"97",97,1990-11-06,1991-05-07,"Unknown",1,NA,0.498288843258042,1,0,1990-11-10,1990-11-10
"98",98,2007-11-01,2008-05-01,"Unknown",0,NA,0.498288843258042,1,0,NA,NA
"99",99,2008-11-05,2009-05-11,"Unknown",0,NA,0.511978097193703,1,0,NA,NA
"100",100,2005-11-24,2006-06-03,"Unknown",5,0.0492813141683778,0.522929500342231,1,0,2006-04-20,2006-05-28
